# Force coefficients
# liftDir     : (0.000000e+00 0.000000e+00 1.000000e+00)
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 1.000000e+00 0.000000e+00)
# magUInf     : 2.000000e+01
# lRef        : 1.420000e+00
# Aref        : 7.500000e-01
# CofR        : (7.200000e-01 0.000000e+00 0.000000e+00)
# Time        	Cm            	Cd            	Cl            	Cl(f)         	Cl(r)         
0             	3.540195e-04	9.874706e-04	2.133685e-07	3.541262e-04	-3.539128e-04
1             	1.424057e-01	3.986243e-01	-3.777439e-04	1.422169e-01	-1.425946e-01
2             	9.502460e-02	2.712338e-01	-2.553587e-03	9.374781e-02	-9.630139e-02
3             	5.969664e-02	1.739323e-01	-3.681329e-03	5.785598e-02	-6.153731e-02
4             	3.931222e-02	1.160091e-01	-2.985518e-03	3.781946e-02	-4.080498e-02
5             	3.076923e-02	8.737220e-02	-8.746962e-04	3.033188e-02	-3.120658e-02
6             	2.494385e-02	6.599647e-02	1.999886e-03	2.594379e-02	-2.394391e-02
7             	2.150450e-02	5.498335e-02	2.801014e-03	2.290501e-02	-2.010400e-02
8             	2.038100e-02	5.081114e-02	3.156178e-03	2.195909e-02	-1.880291e-02
9             	1.949505e-02	4.889776e-02	2.774144e-03	2.088212e-02	-1.810798e-02
10            	1.739933e-02	4.334927e-02	2.697357e-03	1.874801e-02	-1.605065e-02
11            	1.637474e-02	4.238612e-02	1.691662e-03	1.722057e-02	-1.552891e-02
12            	1.568172e-02	4.128570e-02	1.201695e-03	1.628257e-02	-1.508087e-02
13            	1.517719e-02	4.041152e-02	9.716212e-04	1.566300e-02	-1.469138e-02
14            	1.414870e-02	3.768238e-02	1.045883e-03	1.467164e-02	-1.362576e-02
15            	1.377261e-02	3.729056e-02	7.220520e-04	1.413364e-02	-1.341159e-02
16            	1.343422e-02	3.646472e-02	6.402242e-04	1.375434e-02	-1.311411e-02
17            	1.328500e-02	3.600075e-02	6.722256e-04	1.362111e-02	-1.294889e-02
18            	1.277114e-02	3.455920e-02	7.272986e-04	1.313479e-02	-1.240749e-02
19            	1.230397e-02	3.420224e-02	2.312478e-04	1.241960e-02	-1.218835e-02
20            	1.199984e-02	3.389772e-02	-7.862675e-05	1.196053e-02	-1.203915e-02
21            	1.172218e-02	3.361458e-02	-3.118753e-04	1.156625e-02	-1.187812e-02
22            	1.130961e-02	3.284880e-02	-4.523079e-04	1.108346e-02	-1.153577e-02
23            	1.091095e-02	3.243723e-02	-7.603691e-04	1.053077e-02	-1.129113e-02
24            	1.052885e-02	3.191647e-02	-1.012277e-03	1.002271e-02	-1.103499e-02
25            	1.016220e-02	3.145693e-02	-1.277926e-03	9.523238e-03	-1.080116e-02
26            	9.860426e-03	3.103785e-02	-1.488153e-03	9.116350e-03	-1.060450e-02
27            	9.676448e-03	3.080320e-02	-1.614045e-03	8.869425e-03	-1.048347e-02
28            	9.593921e-03	3.061464e-02	-1.625704e-03	8.781069e-03	-1.040677e-02
29            	9.612655e-03	3.057606e-02	-1.564155e-03	8.830578e-03	-1.039473e-02
